branch,queue,subqueue,queue_full,city,street,house
Полтавська,1,1,1.1,м.Полтава,вул. Параджанова-1,5
Полтавська,1,1,1.1,м.Полтава,вул. Параджанова-1,9
Полтавська,1,1,1.1,м.Полтава,пров. Максима Красноуцького,3
Полтавська,1,1,1.1,м.Полтава,пров. Максима Красноуцького,3а
Полтавська,1,1,1.1,м.Полтава,вул. Пчілки О.-10,13
Полтавська,1,1,1.1,м.Полтава,вул. Пчілки О.-10,18
Полтавська,1,1,1.1,м.Полтава,вул. Пчілки О.-10,4
Полтавська,1,1,1.1,м.Полтава,вул. Пчілки О.-10,6
Полтавська,1,1,1.1,м.Полтава,вул. Пчілки О.-10,7
Полтавська,1,1,1.1,м.Полтава,вул. Пчілки О.-10,8
Полтавська,1,1,1.1,м.Полтава,пров. Вовчка Марка-10,11а
Полтавська,1,1,1.1,м.Полтава,пров. Вовчка Марка-10,11б
Полтавська,1,1,1.1,м.Полтава,пров. Вовчка Марка-10,12
Полтавська,1,1,1.1,м.Полтава,пров. Вовчка Марка-10,13
Полтавська,1,1,1.1,м.Полтава,пров. Вовчка Марка-10,14
Полтавська,1,1,1.1,м.Полтава,пров. Вовчка Марка-10,16
Полтавська,1,1,1.1,м.Полтава,пров. Вовчка Марка-10,16а
Полтавська,1,1,1.1,м.Полтава,пров. Вовчка Марка-10,18
Полтавська,1,1,1.1,м.Полтава,пров. Вовчка Марка-10,20
Полтавська,1,1,1.1,м.Полтава,пров. Вовчка Марка-10,22
Полтавська,1,1,1.1,м.Полтава,пров. Вовчка Марка-10,22а
Полтавська,1,1,1.1,м.Полтава,пров. Вовчка Марка-10,24
Полтавська,1,1,1.1,м.Полтава,пров. Вовчка Марка-10,24б
Полтавська,1,1,1.1,м.Полтава,пров. Вовчка Марка-10,26
Полтавська,1,1,1.1,м.Полтава,пров. Вовчка Марка-10,28
Полтавська,1,1,1.1,м.Полтава,пров. Вовчка Марка-10,30
Полтавська,1,1,1.1,м.Полтава,пров. Вовчка Марка-10,30а
Полтавська,1,1,1.1,м.Полтава,пров. Вовчка Марка-10,5
Полтавська,1,1,1.1,м.Полтава,пров. Вовчка Марка-10,5а
